id,app_name,title,body,source_dataset,previous_label,proposed_event_type,proposed_actionability,proposed_base_label,proposed_preference_sensitive,why_selected,user_actionability,user_preference_sensitive,review_note
V04_REALISTIC_001,쿠팡,배송 출발,주문하신 상품이 배송을 시작했습니다. 오늘 오후 도착 예정입니다.,train_v0.4,,DELIVERY_STATUS,ATTENTION_WORTHY,1,true,delivery_status,ATTENTION_WORTHY,true,
V04_REALISTIC_007,무신사,배송 시작,주문 상품이 택배사로 전달됐습니다. 오늘 밤 도착 예정입니다.,train_v0.4,,DELIVERY_STATUS,ATTENTION_WORTHY,1,true,delivery_status,ATTENTION_WORTHY,true,
V04_REALISTIC_013,올리브영,오늘 도착 예정,주문 상품이 배송 중이며 오늘 오후 도착할 예정입니다.,train_v0.4,,DELIVERY_STATUS,ATTENTION_WORTHY,1,true,delivery_status,ATTENTION_WORTHY,true,
V04_REALISTIC_021,토스,입금 완료,계좌로 입금이 완료되었습니다. 거래 내역을 확인할 수 있습니다.,train_v0.4,,PAYMENT_STATUS,ATTENTION_WORTHY,1,false,payment_status,ATTENTION_WORTHY,false,
V04_REALISTIC_027,KB Pay,결제 완료,요청하신 카드 결제가 완료되었습니다.,train_v0.4,,PAYMENT_STATUS,ATTENTION_WORTHY,1,false,payment_status,ATTENTION_WORTHY,false,
V04_REALISTIC_033,카카오페이,송금 완료,요청하신 송금이 정상적으로 완료되었습니다.,train_v0.4,,PAYMENT_STATUS,ATTENTION_WORTHY,1,false,payment_status,ATTENTION_WORTHY,false,
V02_TRAIN_003,토스,토스,카드대금 출금: 오늘 오후 6시로 변경되었습니다.,train_v0.4,1,SCHEDULE_CHANGE,ATTENTION_WORTHY,1,true,schedule_change,ATTENTION_WORTHY,false,
V02_TRAIN_083,오늘의집,오늘의집,설치 배송일: 오늘 오후 6시로 변경되었습니다.,train_v0.4,1,SCHEDULE_CHANGE,ATTENTION_WORTHY,1,true,schedule_change,ATTENTION_WORTHY,false,
V02_TRAIN_163,카카오 T,카카오 T,예약 호출 시간: 오늘 오후 6시로 변경되었습니다.,train_v0.4,1,SCHEDULE_CHANGE,ATTENTION_WORTHY,1,true,schedule_change,ATTENTION_WORTHY,false,
V02_TRAIN_243,Notion,Notion,프로젝트 마감 일정: 오늘 오후 6시로 변경되었습니다.,train_v0.4,1,SCHEDULE_CHANGE,ATTENTION_WORTHY,1,true,schedule_change,ATTENTION_WORTHY,true,
