id,app_name,package_name,title,body,label,notification_type,template_group,clarity,reason_code,android_category,is_ongoing,rule_score,rule_level,forced,model_eligible,source,dataset_version,source_detail,source_url,license,is_real,is_public,label_status,original_source_id,previous_label,event_type,actionability,base_label,preference_sensitive,personalization_scope,training_eligible,base_label_status,label_definition_version
V02_CONTEXT_001,토스,synthetic.kr.toss,토스,가족 송금 관련 새 메시지가 도착했습니다.,,relationship_message,context_0,CONTEXT_DEPENDENT,sender_relationship_required,msg,false,5,GENERAL,false,false,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_001,,MESSAGE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_002,토스,synthetic.kr.toss,일정 알림,저축 목표 시작까지 한 시간 남았습니다.,,personal_schedule,context_1,CONTEXT_DEPENDENT,personal_schedule_context_required,reminder,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_002,,PERSONAL_SCHEDULE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_003,토스,synthetic.kr.toss,새 소식,금융 콘텐츠 새 소식이 등록되었습니다.,,interest_update,context_2,CONTEXT_DEPENDENT,personal_interest_required,social,false,5,GENERAL,false,false,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_003,,INTEREST_UPDATE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_004,토스,synthetic.kr.toss,리마인더,설정한 소비 기록 리마인더 시간입니다.,,personal_habit,context_3,CONTEXT_DEPENDENT,personal_preference_required,reminder,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_004,,PERSONAL_REMINDER,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_005,카카오뱅크,synthetic.kr.kakaobank,카카오뱅크,모임통장 대화 관련 새 메시지가 도착했습니다.,,relationship_message,context_0,CONTEXT_DEPENDENT,sender_relationship_required,msg,false,5,GENERAL,false,false,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_005,,MESSAGE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_006,카카오뱅크,synthetic.kr.kakaobank,일정 알림,저축 일정 시작까지 한 시간 남았습니다.,,personal_schedule,context_1,CONTEXT_DEPENDENT,personal_schedule_context_required,reminder,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_006,,PERSONAL_SCHEDULE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_007,카카오뱅크,synthetic.kr.kakaobank,새 소식,금융 소식 새 소식이 등록되었습니다.,,interest_update,context_2,CONTEXT_DEPENDENT,personal_interest_required,social,false,5,GENERAL,false,false,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_007,,INTEREST_UPDATE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_008,카카오뱅크,synthetic.kr.kakaobank,리마인더,설정한 용돈 기록 리마인더 시간입니다.,,personal_habit,context_3,CONTEXT_DEPENDENT,personal_preference_required,reminder,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_008,,PERSONAL_REMINDER,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_009,삼성카드,synthetic.kr.samsungcard,삼성카드,가족카드 사용 관련 새 메시지가 도착했습니다.,,relationship_message,context_0,CONTEXT_DEPENDENT,sender_relationship_required,msg,false,5,GENERAL,false,false,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_009,,MESSAGE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_010,삼성카드,synthetic.kr.samsungcard,일정 알림,결제 예정 일정 시작까지 한 시간 남았습니다.,,personal_schedule,context_1,CONTEXT_DEPENDENT,personal_schedule_context_required,reminder,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_010,,PERSONAL_SCHEDULE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_011,삼성카드,synthetic.kr.samsungcard,새 소식,카드 생활 소식 새 소식이 등록되었습니다.,,interest_update,context_2,CONTEXT_DEPENDENT,personal_interest_required,social,false,5,GENERAL,false,false,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_011,,INTEREST_UPDATE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_012,삼성카드,synthetic.kr.samsungcard,리마인더,설정한 소비 목표 리마인더 시간입니다.,,personal_habit,context_3,CONTEXT_DEPENDENT,personal_preference_required,reminder,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_012,,PERSONAL_REMINDER,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_013,네이버페이,synthetic.kr.naverpay,네이버페이,선물 받은 포인트 관련 새 메시지가 도착했습니다.,,relationship_message,context_0,CONTEXT_DEPENDENT,sender_relationship_required,msg,false,5,GENERAL,false,false,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_013,,MESSAGE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
V02_CONTEXT_014,네이버페이,synthetic.kr.naverpay,일정 알림,포인트 적립 일정 시작까지 한 시간 남았습니다.,,personal_schedule,context_1,CONTEXT_DEPENDENT,personal_schedule_context_required,reminder,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.4,noti_v0.2_generator,,PROJECT_OWNED,false,true,UNLABELED_CONTEXT,V02_CONTEXT_014,,PERSONAL_SCHEDULE,,,true,APP_EVENT_TYPE,false,UNLABELED_CONTEXT,0.4
