id,title,body,label,group,template_group,clarity,reason_code,android_category,source
TRAIN_001,인증번호 안내,은행 앱 본인 확인용 인증번호가 발급되었습니다. 3분 안에 입력해주세요.,1,security_authentication,security_authentication_template_1,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_002,본인 확인 코드,카드 앱 본인 확인용 인증번호가 발급되었습니다. 4분 안에 입력해주세요.,1,security_authentication,security_authentication_template_2,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_003,보안 인증 요청,쇼핑몰 본인 확인용 인증번호가 발급되었습니다. 5분 안에 입력해주세요.,1,security_authentication,security_authentication_template_3,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_004,일회용 코드,학교 포털 본인 확인용 인증번호가 발급되었습니다. 3분 안에 입력해주세요.,1,security_authentication,security_authentication_template_4,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_005,로그인 인증,회사 계정 본인 확인용 인증번호가 발급되었습니다. 4분 안에 입력해주세요.,1,security_authentication,security_authentication_template_5,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_006,인증번호 안내,이메일 서비스 본인 확인용 인증번호가 발급되었습니다. 5분 안에 입력해주세요.,1,security_authentication,security_authentication_template_1,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_007,본인 확인 코드,정부 서비스 본인 확인용 인증번호가 발급되었습니다. 3분 안에 입력해주세요.,1,security_authentication,security_authentication_template_2,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_008,보안 인증 요청,예약 서비스 본인 확인용 인증번호가 발급되었습니다. 4분 안에 입력해주세요.,1,security_authentication,security_authentication_template_3,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_009,일회용 코드,결제 서비스 본인 확인용 인증번호가 발급되었습니다. 5분 안에 입력해주세요.,1,security_authentication,security_authentication_template_4,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_010,로그인 인증,클라우드 계정 본인 확인용 인증번호가 발급되었습니다. 3분 안에 입력해주세요.,1,security_authentication,security_authentication_template_5,CLEAR,security_time_sensitive,msg,SYNTHETIC
TRAIN_011,계정 보안 알림,새로운 기기에서 로그인이 감지되었습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_1,CLEAR,account_risk,status,SYNTHETIC
TRAIN_012,로그인 차단,비밀번호가 방금 변경되었습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_2,CLEAR,account_risk,status,SYNTHETIC
TRAIN_013,비밀번호 변경,반복된 로그인 실패로 계정이 잠겼습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_3,CLEAR,account_risk,status,SYNTHETIC
TRAIN_014,새 기기 로그인,해외 위치에서 접속이 감지되었습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_4,CLEAR,account_risk,status,SYNTHETIC
TRAIN_015,의심스러운 활동,등록하지 않은 기기가 추가되었습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_5,CLEAR,account_risk,status,SYNTHETIC
TRAIN_016,계정 보안 알림,보안 설정이 변경되었습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_1,CLEAR,account_risk,status,SYNTHETIC
TRAIN_017,로그인 차단,계정 복구 요청이 접수되었습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_2,CLEAR,account_risk,status,SYNTHETIC
TRAIN_018,비밀번호 변경,2단계 인증이 해제되었습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_3,CLEAR,account_risk,status,SYNTHETIC
TRAIN_019,새 기기 로그인,의심스러운 결제 로그인이 차단되었습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_4,CLEAR,account_risk,status,SYNTHETIC
TRAIN_020,의심스러운 활동,알 수 없는 브라우저에서 접속했습니다. 본인이 아니라면 지금 계정을 확인해주세요.,1,account_security,account_security_template_5,CLEAR,account_risk,status,SYNTHETIC
TRAIN_021,결제 실패,온라인 주문 결제가 승인되지 않았습니다. 결제 수단을 확인하고 다시 시도해주세요.,1,payment_failure,payment_failure_template_1,CLEAR,financial_action_required,status,SYNTHETIC
TRAIN_022,카드 승인 거절,정기 구독 결제가 실패했습니다. 결제 수단을 확인하고 다시 시도해주세요.,1,payment_failure,payment_failure_template_2,CLEAR,financial_action_required,status,SYNTHETIC
TRAIN_023,자동이체 오류,등록한 카드의 승인이 거절되었습니다. 결제 수단을 확인하고 다시 시도해주세요.,1,payment_failure,payment_failure_template_3,CLEAR,financial_action_required,status,SYNTHETIC
TRAIN_024,납부 처리 실패,월세 자동이체를 완료하지 못했습니다. 결제 수단을 확인하고 다시 시도해주세요.,1,payment_failure,payment_failure_template_4,CLEAR,financial_action_required,status,SYNTHETIC
TRAIN_025,결제 수단 확인,통신요금 납부가 처리되지 않았습니다. 결제 수단을 확인하고 다시 시도해주세요.,1,payment_failure,payment_failure_template_5,CLEAR,financial_action_required,status,SYNTHETIC
TRAIN_026,결제 실패,보험료 자동 결제에 실패했습니다. 결제 수단을 확인하고 다시 시도해주세요.,1,payment_failure,payment_failure_template_1,CLEAR,financial_action_required,status,SYNTHETIC
TRAIN_027,카드 승인 거절,교통카드 자동 충전이 실패했습니다. 결제 수단을 확인하고 다시 시도해주세요.,1,payment_failure,payment_failure_template_2,CLEAR,financial_action_required,status,SYNTHETIC
