id,app_name,package_name,title,body,label,notification_type,template_group,clarity,reason_code,android_category,is_ongoing,rule_score,rule_level,forced,model_eligible,source,dataset_version,source_detail,source_url,license,is_real,is_public,label_status,original_source_id,previous_label,event_type,actionability,base_label,preference_sensitive,personalization_scope,training_eligible,base_label_status,label_definition_version,cv_fold
V02_TRAIN_001,토스,synthetic.kr.toss,토스,자동이체 처리가 정상적으로 완료되지 않았습니다.,1,exception,eligible_promote_0_0,CLEAR,concrete_failure_or_exception,msg,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,POLICY_REVIEWED,V02_TRAIN_001,1,PROCESS_FAILURE,ACTION_REQUIRED,1,false,NONE,true,POLICY_APPROVED_V04,0.4,2
V02_TRAIN_002,토스,synthetic.kr.toss,자동이체 안내,자동이체 처리 중 문제가 발생했습니다.,1,exception,eligible_promote_0_1,CLEAR,concrete_failure_or_exception,msg,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,POLICY_REVIEWED,V02_TRAIN_002,1,PROCESS_FAILURE,ACTION_REQUIRED,1,false,NONE,true,POLICY_APPROVED_V04,0.4,1
V02_TRAIN_003,토스,synthetic.kr.toss,토스,카드대금 출금: 오늘 오후 6시로 변경되었습니다.,1,schedule_change,eligible_promote_schedule_0,CLEAR,meaningful_schedule_change,msg,false,30,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,HUMAN_REVIEWED,V02_TRAIN_003,1,SCHEDULE_CHANGE,ATTENTION_WORTHY,1,false,NONE,true,HUMAN_REVIEWED_V04,0.4,3
V02_TRAIN_004,토스,synthetic.kr.toss,카드대금 출금 안내,카드대금 출금: 내일 오전 9시로 변경되었습니다.,1,schedule_change,eligible_promote_schedule_1,CLEAR,meaningful_schedule_change,msg,false,30,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,POLICY_REVIEWED,V02_TRAIN_004,1,SCHEDULE_CHANGE,ATTENTION_WORTHY,1,true,APP_EVENT_TYPE,true,POLICY_APPROVED_V04,0.4,0
V02_TRAIN_005,토스,synthetic.kr.toss,토스,확인이 필요합니다: 송금 정보,1,action_required,eligible_promote_2_0,CLEAR,concrete_user_confirmation,msg,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,POLICY_REVIEWED,V02_TRAIN_005,1,USER_ACTION,ACTION_REQUIRED,1,false,NONE,true,POLICY_APPROVED_V04,0.4,0
V02_TRAIN_006,토스,synthetic.kr.toss,송금 정보 안내,송금 정보 관련 확인이 필요합니다.,1,action_required,eligible_promote_2_1,CLEAR,concrete_user_confirmation,msg,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,POLICY_REVIEWED,V02_TRAIN_006,1,USER_ACTION,ACTION_REQUIRED,1,false,NONE,true,POLICY_APPROVED_V04,0.4,4
V02_TRAIN_007,토스,synthetic.kr.toss,토스,주간 소비 리포트: 이번 주 요약이 도착했습니다.,0,summary,eligible_keep_0_0,CLEAR,informational_summary,msg,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,HUMAN_REVIEWED,V02_TRAIN_007,0,SUMMARY,INFORMATIONAL,0,true,APP_EVENT_TYPE,true,HUMAN_REVIEWED_V04,0.4,3
V02_TRAIN_008,토스,synthetic.kr.toss,주간 소비 리포트 안내,주간 소비 리포트 세부 내용을 확인해주세요.,0,summary,eligible_keep_0_1,CLEAR,informational_summary,msg,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,POLICY_REVIEWED,V02_TRAIN_008,0,SUMMARY,INFORMATIONAL,0,true,APP_EVENT_TYPE,true,POLICY_APPROVED_V04,0.4,2
V02_TRAIN_009,토스,synthetic.kr.toss,토스,자산 현황 보기 관련 새 내용이 오늘 오후 3시에 공개됩니다.,0,optional_schedule,eligible_keep_schedule_0,CLEAR,optional_timed_content,reminder,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,HUMAN_REVIEWED,V02_TRAIN_009,0,OPTIONAL_CONTENT,PROMOTIONAL,0,true,APP_EVENT_TYPE,true,HUMAN_REVIEWED_V04,0.4,2
V02_TRAIN_010,토스,synthetic.kr.toss,자산 현황 보기 안내,자산 현황 보기 관련 내용이 내일 오전 10시에 업데이트됩니다.,0,optional_schedule,eligible_keep_schedule_1,CLEAR,optional_timed_content,reminder,false,25,REVIEW,false,true,SYNTHETIC_REVIEWED,0.6,noti_v0.2_generator,,PROJECT_OWNED,false,true,POLICY_REVIEWED,V02_TRAIN_010,0,OPTIONAL_CONTENT,PROMOTIONAL,0,true,APP_EVENT_TYPE,true,POLICY_APPROVED_V04,0.4,2
