id,title,body,label,group,template_group,clarity,reason_code,android_category,source
AMB_001,새 메시지,친구가 메시지를 보냈습니다.,,personal_message,personal_message_template_1,AMBIGUOUS,relationship_dependent,msg,SYNTHETIC
AMB_002,답장이 도착했어요,지인이 보낸 새 답장이 있습니다.,,personal_message,personal_message_template_2,AMBIGUOUS,relationship_dependent,msg,SYNTHETIC
AMB_003,사진을 보냈어요,친구가 사진 한 장을 공유했습니다.,,personal_message,personal_message_template_3,AMBIGUOUS,relationship_dependent,msg,SYNTHETIC
AMB_004,안부 메시지,오랜만에 연락한 사람이 메시지를 남겼습니다.,,personal_message,personal_message_template_4,AMBIGUOUS,relationship_dependent,msg,SYNTHETIC
AMB_005,채팅 알림,개인 채팅방에 새 메시지가 있습니다.,,personal_message,personal_message_template_5,AMBIGUOUS,relationship_dependent,msg,SYNTHETIC
AMB_006,단체 채팅,동아리 채팅방에 새 메시지 3개가 있습니다.,,group_chat,group_chat_template_1,AMBIGUOUS,group_relevance_dependent,msg,SYNTHETIC
AMB_007,새 대화,가족 채팅방에 새 대화가 올라왔습니다.,,group_chat,group_chat_template_2,AMBIGUOUS,group_relevance_dependent,msg,SYNTHETIC
AMB_008,팀 채팅,프로젝트 채팅방에서 새 메시지가 왔습니다.,,group_chat,group_chat_template_3,AMBIGUOUS,group_relevance_dependent,msg,SYNTHETIC
AMB_009,모임 채팅,주말 모임 채팅방에 새 글이 있습니다.,,group_chat,group_chat_template_4,AMBIGUOUS,group_relevance_dependent,msg,SYNTHETIC
AMB_010,학급 채팅,학급 단체방에 새 메시지가 도착했습니다.,,group_chat,group_chat_template_5,AMBIGUOUS,group_relevance_dependent,msg,SYNTHETIC
AMB_011,배송 예정,주문한 상품이 오늘 오후 도착할 예정입니다.,,delivery_arrival,delivery_arrival_template_1,AMBIGUOUS,delivery_preference_dependent,status,SYNTHETIC
AMB_012,배송 완료,상품이 문 앞에 배송되었습니다.,,delivery_arrival,delivery_arrival_template_2,AMBIGUOUS,delivery_preference_dependent,status,SYNTHETIC
AMB_013,택배 도착,무인 보관함에 택배가 도착했습니다.,,delivery_arrival,delivery_arrival_template_3,AMBIGUOUS,delivery_preference_dependent,status,SYNTHETIC
AMB_014,배달 출발,주문한 음식이 매장에서 출발했습니다.,,delivery_arrival,delivery_arrival_template_4,AMBIGUOUS,delivery_preference_dependent,status,SYNTHETIC
AMB_015,수령 안내,편의점 택배를 수령할 수 있습니다.,,delivery_arrival,delivery_arrival_template_5,AMBIGUOUS,delivery_preference_dependent,status,SYNTHETIC
AMB_016,경기 시작,관심 팀의 경기가 10분 후 시작됩니다.,,hobby_event,hobby_event_template_1,AMBIGUOUS,interest_dependent,event,SYNTHETIC
